image,annotation
ADE_train_00000001.jpg,ADE_train_00000001.png
ADE_train_00000002.jpg,ADE_train_00000002.png
ADE_train_00000003.jpg,ADE_train_00000003.png
ADE_train_00000006.jpg,ADE_train_00000006.png
ADE_train_00000007.jpg,ADE_train_00000007.png
ADE_train_00000008.jpg,ADE_train_00000008.png
ADE_train_00000009.jpg,ADE_train_00000009.png
ADE_train_00000010.jpg,ADE_train_00000010.png
ADE_train_00000011.jpg,ADE_train_00000011.png
ADE_train_00000012.jpg,ADE_train_00000012.png
ADE_train_00000013.jpg,ADE_train_00000013.png
ADE_train_00000014.jpg,ADE_train_00000014.png
ADE_train_00000015.jpg,ADE_train_00000015.png
ADE_train_00000016.jpg,ADE_train_00000016.png
ADE_train_00000017.jpg,ADE_train_00000017.png
ADE_train_00000018.jpg,ADE_train_00000018.png
ADE_train_00000019.jpg,ADE_train_00000019.png
ADE_train_00000020.jpg,ADE_train_00000020.png
ADE_train_00000021.jpg,ADE_train_00000021.png
ADE_train_00000022.jpg,ADE_train_00000022.png
ADE_train_00000023.jpg,ADE_train_00000023.png
ADE_train_00000024.jpg,ADE_train_00000024.png
ADE_train_00000025.jpg,ADE_train_00000025.png
ADE_train_00000026.jpg,ADE_train_00000026.png
ADE_train_00000027.jpg,ADE_train_00000027.png
ADE_train_00000028.jpg,ADE_train_00000028.png
ADE_train_00000029.jpg,ADE_train_00000029.png
ADE_train_00000031.jpg,ADE_train_00000031.png
ADE_train_00000032.jpg,ADE_train_00000032.png
ADE_train_00000033.jpg,ADE_train_00000033.png
ADE_train_00000034.jpg,ADE_train_00000034.png
ADE_train_00000035.jpg,ADE_train_00000035.png
ADE_train_00000036.jpg,ADE_train_00000036.png
ADE_train_00000037.jpg,ADE_train_00000037.png
ADE_train_00000038.jpg,ADE_train_00000038.png
ADE_train_00000039.jpg,ADE_train_00000039.png
ADE_train_00000040.jpg,ADE_train_00000040.png
ADE_train_00000041.jpg,ADE_train_00000041.png
ADE_train_00000042.jpg,ADE_train_00000042.png
ADE_train_00000043.jpg,ADE_train_00000043.png
ADE_train_00000044.jpg,ADE_train_00000044.png
ADE_train_00000045.jpg,ADE_train_00000045.png
ADE_train_00000046.jpg,ADE_train_00000046.png
ADE_train_00000047.jpg,ADE_train_00000047.png
ADE_train_00000048.jpg,ADE_train_00000048.png
ADE_train_00000049.jpg,ADE_train_00000049.png
ADE_train_00000050.jpg,ADE_train_00000050.png
ADE_train_00000051.jpg,ADE_train_00000051.png
ADE_train_00000052.jpg,ADE_train_00000052.png
ADE_train_00000053.jpg,ADE_train_00000053.png
ADE_train_00000054.jpg,ADE_train_00000054.png
ADE_train_00000055.jpg,ADE_train_00000055.png
ADE_train_00000056.jpg,ADE_train_00000056.png
ADE_train_00000057.jpg,ADE_train_00000057.png
ADE_train_00000058.jpg,ADE_train_00000058.png
ADE_train_00000059.jpg,ADE_train_00000059.png
ADE_train_00000060.jpg,ADE_train_00000060.png
ADE_train_00000061.jpg,ADE_train_00000061.png
ADE_train_00000062.jpg,ADE_train_00000062.png
ADE_train_00000063.jpg,ADE_train_00000063.png
ADE_train_00000064.jpg,ADE_train_00000064.png
ADE_train_00000065.jpg,ADE_train_00000065.png
ADE_train_00000066.jpg,ADE_train_00000066.png
ADE_train_00000067.jpg,ADE_train_00000067.png
ADE_train_00000068.jpg,ADE_train_00000068.png
ADE_train_00000069.jpg,ADE_train_00000069.png
ADE_train_00000070.jpg,ADE_train_00000070.png
ADE_train_00000071.jpg,ADE_train_00000071.png
ADE_train_00000072.jpg,ADE_train_00000072.png
ADE_train_00000073.jpg,ADE_train_00000073.png
ADE_train_00000074.jpg,ADE_train_00000074.png
ADE_train_00000075.jpg,ADE_train_00000075.png
ADE_train_00000076.jpg,ADE_train_00000076.png
ADE_train_00000077.jpg,ADE_train_00000077.png
ADE_train_00000078.jpg,ADE_train_00000078.png
ADE_train_00000079.jpg,ADE_train_00000079.png
ADE_train_00000081.jpg,ADE_train_00000081.png
ADE_train_00000082.jpg,ADE_train_00000082.png
ADE_train_00000083.jpg,ADE_train_00000083.png
ADE_train_00000084.jpg,ADE_train_00000084.png
ADE_train_00000085.jpg,ADE_train_00000085.png
ADE_train_00000086.jpg,ADE_train_00000086.png
ADE_train_00000087.jpg,ADE_train_00000087.png
ADE_train_00000088.jpg,ADE_train_00000088.png
ADE_train_00000089.jpg,ADE_train_00000089.png
ADE_train_00000090.jpg,ADE_train_00000090.png
ADE_train_00000091.jpg,ADE_train_00000091.png
ADE_train_00000092.jpg,ADE_train_00000092.png
ADE_train_00000093.jpg,ADE_train_00000093.png
ADE_train_00000094.jpg,ADE_train_00000094.png
ADE_train_00000095.jpg,ADE_train_00000095.png
ADE_train_00000096.jpg,ADE_train_00000096.png
ADE_train_00000097.jpg,ADE_train_00000097.png
ADE_train_00000098.jpg,ADE_train_00000098.png
ADE_train_00000099.jpg,ADE_train_00000099.png
ADE_train_00000100.jpg,ADE_train_00000100.png
ADE_train_00000101.jpg,ADE_train_00000101.png
ADE_train_00000102.jpg,ADE_train_00000102.png
ADE_train_00000103.jpg,ADE_train_00000103.png
ADE_train_00000104.jpg,ADE_train_00000104.png
ADE_train_00000105.jpg,ADE_train_00000105.png
ADE_train_00000106.jpg,ADE_train_00000106.png
ADE_train_00000107.jpg,ADE_train_00000107.png
ADE_train_00000108.jpg,ADE_train_00000108.png
ADE_train_00000109.jpg,ADE_train_00000109.png
ADE_train_00000110.jpg,ADE_train_00000110.png
ADE_train_00000111.jpg,ADE_train_00000111.png
ADE_train_00000112.jpg,ADE_train_00000112.png
ADE_train_00000113.jpg,ADE_train_00000113.png
ADE_train_00000114.jpg,ADE_train_00000114.png
ADE_train_00000115.jpg,ADE_train_00000115.png
ADE_train_00000116.jpg,ADE_train_00000116.png
ADE_train_00000117.jpg,ADE_train_00000117.png
ADE_train_00000118.jpg,ADE_train_00000118.png
ADE_train_00000119.jpg,ADE_train_00000119.png
ADE_train_00000120.jpg,ADE_train_00000120.png
ADE_train_00000121.jpg,ADE_train_00000121.png
ADE_train_00000122.jpg,ADE_train_00000122.png
ADE_train_00000123.jpg,ADE_train_00000123.png
ADE_train_00000124.jpg,ADE_train_00000124.png
ADE_train_00000125.jpg,ADE_train_00000125.png
ADE_train_00000126.jpg,ADE_train_00000126.png
ADE_train_00000127.jpg,ADE_train_00000127.png
ADE_train_00000128.jpg,ADE_train_00000128.png
ADE_train_00000129.jpg,ADE_train_00000129.png
ADE_train_00000130.jpg,ADE_train_00000130.png
ADE_train_00000131.jpg,ADE_train_00000131.png
ADE_train_00000132.jpg,ADE_train_00000132.png
ADE_train_00000133.jpg,ADE_train_00000133.png
ADE_train_00000134.jpg,ADE_train_00000134.png
ADE_train_00000135.jpg,ADE_train_00000135.png
ADE_train_00000136.jpg,ADE_train_00000136.png
ADE_train_00000137.jpg,ADE_train_00000137.png
ADE_train_00000138.jpg,ADE_train_00000138.png
ADE_train_00000139.jpg,ADE_train_00000139.png
ADE_train_00000140.jpg,ADE_train_00000140.png
ADE_train_00000141.jpg,ADE_train_00000141.png
ADE_train_00000142.jpg,ADE_train_00000142.png
ADE_train_00000144.jpg,ADE_train_00000144.png
ADE_train_00000145.jpg,ADE_train_00000145.png
ADE_train_00000146.jpg,ADE_train_00000146.png
ADE_train_00000147.jpg,ADE_train_00000147.png
ADE_train_00000148.jpg,ADE_train_00000148.png
ADE_train_00000149.jpg,ADE_train_00000149.png
ADE_train_00000150.jpg,ADE_train_00000150.png
ADE_train_00000151.jpg,ADE_train_00000151.png
ADE_train_00000152.jpg,ADE_train_00000152.png
ADE_train_00000153.jpg,ADE_train_00000153.png
ADE_train_00000154.jpg,ADE_train_00000154.png
ADE_train_00000155.jpg,ADE_train_00000155.png
ADE_train_00000156.jpg,ADE_train_00000156.png
ADE_train_00000157.jpg,ADE_train_00000157.png
ADE_train_00000158.jpg,ADE_train_00000158.png
ADE_train_00000159.jpg,ADE_train_00000159.png
ADE_train_00000160.jpg,ADE_train_00000160.png
ADE_train_00000161.jpg,ADE_train_00000161.png
ADE_train_00000162.jpg,ADE_train_00000162.png
ADE_train_00000163.jpg,ADE_train_00000163.png
ADE_train_00000164.jpg,ADE_train_00000164.png
ADE_train_00000165.jpg,ADE_train_00000165.png
ADE_train_00000166.jpg,ADE_train_00000166.png
ADE_train_00000167.jpg,ADE_train_00000167.png
ADE_train_00000168.jpg,ADE_train_00000168.png
ADE_train_00000169.jpg,ADE_train_00000169.png
ADE_train_00000170.jpg,ADE_train_00000170.png
ADE_train_00000171.jpg,ADE_train_00000171.png
ADE_train_00000172.jpg,ADE_train_00000172.png
ADE_train_00000173.jpg,ADE_train_00000173.png
ADE_train_00000174.jpg,ADE_train_00000174.png
ADE_train_00000175.jpg,ADE_train_00000175.png
ADE_train_00000176.jpg,ADE_train_00000176.png
ADE_train_00000177.jpg,ADE_train_00000177.png
ADE_train_00000178.jpg,ADE_train_00000178.png
ADE_train_00000179.jpg,ADE_train_00000179.png
ADE_train_00000180.jpg,ADE_train_00000180.png
ADE_train_00000181.jpg,ADE_train_00000181.png
ADE_train_00000182.jpg,ADE_train_00000182.png
ADE_train_00000183.jpg,ADE_train_00000183.png
ADE_train_00000184.jpg,ADE_train_00000184.png
ADE_train_00000185.jpg,ADE_train_00000185.png
ADE_train_00000186.jpg,ADE_train_00000186.png
ADE_train_00000187.jpg,ADE_train_00000187.png
ADE_train_00000188.jpg,ADE_train_00000188.png
ADE_train_00000189.jpg,ADE_train_00000189.png
ADE_train_00000190.jpg,ADE_train_00000190.png
ADE_train_00000192.jpg,ADE_train_00000192.png
ADE_train_00000193.jpg,ADE_train_00000193.png
ADE_train_00000194.jpg,ADE_train_00000194.png
ADE_train_00000195.jpg,ADE_train_00000195.png
ADE_train_00000196.jpg,ADE_train_00000196.png
ADE_train_00000197.jpg,ADE_train_00000197.png
ADE_train_00000198.jpg,ADE_train_00000198.png
ADE_train_00000199.jpg,ADE_train_00000199.png
ADE_train_00000200.jpg,ADE_train_00000200.png
ADE_train_00000201.jpg,ADE_train_00000201.png
ADE_train_00000202.jpg,ADE_train_00000202.png
ADE_train_00000203.jpg,ADE_train_00000203.png
ADE_train_00000204.jpg,ADE_train_00000204.png
ADE_train_00000205.jpg,ADE_train_00000205.png
ADE_train_00000206.jpg,ADE_train_00000206.png
ADE_train_00000207.jpg,ADE_train_00000207.png
ADE_train_00000208.jpg,ADE_train_00000208.png
ADE_train_00000209.jpg,ADE_train_00000209.png
ADE_train_00000210.jpg,ADE_train_00000210.png
ADE_train_00000211.jpg,ADE_train_00000211.png
ADE_train_00000212.jpg,ADE_train_00000212.png
ADE_train_00000213.jpg,ADE_train_00000213.png
ADE_train_00000214.jpg,ADE_train_00000214.png
ADE_train_00000215.jpg,ADE_train_00000215.png
ADE_train_00000216.jpg,ADE_train_00000216.png
ADE_train_00000217.jpg,ADE_train_00000217.png
ADE_train_00000218.jpg,ADE_train_00000218.png
ADE_train_00000219.jpg,ADE_train_00000219.png
ADE_train_00000220.jpg,ADE_train_00000220.png
ADE_train_00000221.jpg,ADE_train_00000221.png
ADE_train_00000222.jpg,ADE_train_00000222.png
ADE_train_00000223.jpg,ADE_train_00000223.png
ADE_train_00000224.jpg,ADE_train_00000224.png
ADE_train_00000225.jpg,ADE_train_00000225.png
ADE_train_00000226.jpg,ADE_train_00000226.png
ADE_train_00000227.jpg,ADE_train_00000227.png
ADE_train_00000228.jpg,ADE_train_00000228.png
ADE_train_00000229.jpg,ADE_train_00000229.png
