epoch,train_loss,val_loss,dice_loss,boundary_loss,w_dice,w_boundary,acc_pos,acc_neg,iou_pos,iou_neg,score,grad_norm,lr
1,0.266884,0.341807,0.275073,-0.081893,1.0000,0.1000,71.02,14.85,0.234583,0.048251,0.104151,0.6250,5.00e-06
2,0.066539,-0.041684,0.097165,-0.126143,0.9444,0.2000,92.41,69.86,0.303161,0.345566,0.332844,0.2538,4.88e-06
3,0.007303,-0.129229,0.068685,-0.179166,0.8889,0.3000,91.93,97.13,0.296896,0.662321,0.552693,0.1028,4.53e-06
4,-0.024810,-0.202056,0.059331,-0.185631,0.8333,0.4000,92.84,98.82,0.341532,0.803452,0.664876,0.0758,3.99e-06
5,-0.051255,-0.272021,0.056024,-0.189659,0.7778,0.5000,93.08,99.12,0.387531,0.825508,0.694115,0.0742,3.31e-06
6,-0.078165,-0.335402,0.056681,-0.198502,0.7222,0.6000,92.38,99.31,0.310614,0.841777,0.682428,0.0775,2.55e-06
7,-0.104284,-0.401362,0.060099,-0.206214,0.6667,0.7000,91.06,99.31,0.267616,0.833333,0.663618,0.1069,1.79e-06
8,-0.130178,-0.467699,0.067367,-0.214184,0.6111,0.8000,88.95,99.27,0.278200,0.822784,0.659409,0.1280,1.11e-06
9,-0.157325,-0.534410,0.075444,-0.221376,0.5556,0.9000,86.87,99.15,0.200958,0.779446,0.605900,0.1739,5.68e-07
10,-0.186391,-0.597259,0.084668,-0.228725,0.5000,1.0000,84.56,99.28,0.169792,0.753942,0.578697,0.2008,2.20e-07
